,index,property_id,price,bed_no,address,property_type,listed_time,agent,first_station,second_station
18530,841,46229416,599950.0,2.0,"Lavender Hill, London SW11",flat,2018-01-15 00:00:00,"Dexters - Battersea, SW11",Clapham Junction,Queenstown Road (Battersea)
18531,183,49254913,599950.0,2.0,"Oyster Wharf, Battersea, London SW11",flat,2018-10-04 00:00:00,"James Pendleton, Wandsworth Town and Tonsleys Office, SW18",Imperial Wharf,Clapham Junction
18532,283,49059608,595000.0,2.0,"Altura Tower, Battersea SW11",flat,2018-09-17 00:00:00,"H&amp;G Property, SW11",Imperial Wharf,Clapham Junction
18533,690,47478602,595000.0,2.0,"Strathblaine Road, London SW11",house,2018-05-02 00:00:00,"Hamptons International - Battersea Sales, SW11",Clapham Junction,Wandsworth Town
18534,825,46450387,595000.0,,"Dawson House, 11 Circus Road West, London SW11",house,2018-02-01 00:00:00,"Hastings International - London Bridge, SE1",Battersea Park,Queenstown Road (Battersea)
18535,423,48764842,579950.0,1.0,"""Voyager House Type E Seventh Floor"" at York Road, London SW11",flat,2018-08-17 00:00:00,"Linden Homes - Viewpoint, SW11",Clapham Junction,Imperial Wharf
18536,563,48409261,575000.0,1.0,"Prince Of Wales Mansions, Prince Of Wales Drive, Chelsea SW11",house,2018-07-02 00:00:00,"Frank Harris &amp; Co., SE1",Battersea Park,Queenstown Road (Battersea)
18537,606,47998320,575000.0,2.0,"Eversleigh Road, Battersea SW11",flat,2018-06-14 00:00:00,"Featherstone Leigh - Battersea, SW11",Clapham Junction,Queenstown Road (Battersea)
18538,264,49097949,575000.0,2.0,"Prince Of Wales Drive, London SW11",flat,2018-09-20 00:00:00,"Martin &amp; Co Chelsea, SW10",Imperial Wharf,Clapham Junction
18539,643,48151998,575000.0,2.0,"Warriner Gardens, London SW11",flat,2018-06-01 00:00:00,"Douglas &amp; Gordon - Battersea Park, SW11",Battersea Park,Queenstown Road (Battersea)
18540,411,48806085,575000.0,,"Capital Building, Embassy Gardens, Nine Elms SW11",house,2018-08-22 00:00:00,"JOHNS&amp;CO - Nine Elms, SW11",Pimlico,Vauxhall
18541,276,49075880,575000.0,1.0,"New Union Square, London SW11",flat,2018-09-18 00:00:00,"Martin &amp; Co London Riverside, SW10",Pimlico,Vauxhall
18542,490,48513756,575000.0,1.0,"New Union Square, London SW11",flat,2018-07-25 00:00:00,"Battersea &amp; Nine Elms Estates, SW8",Pimlico,Vauxhall
18543,75,49434757,575000.0,2.0,"Lombard Road, London SW11",flat,2018-10-22 00:00:00,"Martin &amp; Co London Riverside, SW10",Imperial Wharf,Clapham Junction
18544,514,48412239,575000.0,2.0,"Prices Court, Battersea SW11",flat,2018-07-17 00:00:00,"Featherstone Leigh - Battersea, SW11",Imperial Wharf,Clapham Junction
18545,335,48957064,575000.0,1.0,"Embassy Gardens, Nine Elms, London SW11",flat,2018-09-06 00:00:00,"JLL - Nine Elms, SW11",Pimlico,Vauxhall
18546,679,43071522,575000.0,2.0,"Garfield Road, Battersea, London SW11",flat,2018-05-10 00:00:00,"James Pendleton, Battersea Northcote Road Office, SW11",Clapham Common,Queenstown Road (Battersea)
18547,161,49291903,575000.0,2.0,"Cabul Road, Battersea, London SW11",house,2018-10-08 00:00:00,"Bairstow Eves - Battersea Sales, SW11",Clapham Junction,Imperial Wharf
18548,164,49289924,575000.0,2.0,"Sunbury Lane, London SW11",flat,2018-10-08 00:00:00,"Douglas &amp; Gordon - Battersea Park, SW11",Imperial Wharf,Clapham Junction
18549,316,48997218,575000.0,2.0,"Sunbury Lane, London SW11",flat,2018-09-11 00:00:00,"Barnard Marcus - Battersea, SW11",Imperial Wharf,Clapham Junction
18550,556,48591460,575000.0,2.0,"Lavender Hill, Wandsworth, London SW11",flat,2018-07-04 00:00:00,"Keller Williams Prime Properties, W1J",Clapham Junction,Queenstown Road (Battersea)
18551,513,46851647,575000.0,2.0,"Westmoreland Apartments, 160 Gideon Road, London SW11",flat,2018-07-17 00:00:00,"Marsh &amp; Parsons - Battersea, SW11",Clapham Junction,Queenstown Road (Battersea)
18552,551,48239267,575000.0,2.0,"Lurline Gardens, London SW11",flat,2018-07-04 00:00:00,"Eden Harper, SW11",Battersea Park,Queenstown Road (Battersea)
18553,149,49305114,574950.0,1.0,"Lombard Wharf, Battersea, London SW11",flat,2018-10-09 00:00:00,"James Pendleton, Wandsworth Town and Tonsleys Office, SW18",Imperial Wharf,Clapham Junction
18554,900,44472597,572500.0,2.0,"Coral Row, Battersea, London SW11",flat,2017-07-17 00:00:00,"Barnard Marcus - Battersea, SW11",Clapham Junction,Wandsworth Town
18555,859,45557976,572500.0,2.0,"Trade Tower, Coral Row, Battersea, London SW11",flat,2017-11-12 00:00:00,"John D Wood &amp; Co. - Wandsworth Sales, SW18",Clapham Junction,Wandsworth Town
18556,184,49254090,572500.0,2.0,"Trade Tower, Coral Row, Battersea SW11",flat,2018-10-04 00:00:00,"Lauristons - Battersea, SW11",Clapham Junction,Wandsworth Town
18557,760,47006206,570000.0,2.0,"Matthews Street, London SW11",flat,2018-03-21 00:00:00,"Bairstow Eves - Battersea Sales, SW11",Clapham Junction,Queenstown Road (Battersea)
18558,3,49537401,569950.0,1.0,"""Voyager House Type D Sixth Floor"" at York Road, London SW11",flat,2018-10-31 00:00:00,"Linden Homes - Viewpoint, SW11",Clapham Junction,Imperial Wharf
18559,805,48151646,565000.0,2.0,"Battersea Rise, London SW11",flat,2018-02-22 00:00:00,"Douglas &amp; Gordon - Battersea, SW11",Clapham Junction,Wandsworth Town
18560,374,48896023,565000.0,2.0,"Archer House, Vicarage Crescent, Battersea, London SW11",flat,2018-08-31 00:00:00,"First Union, SW11",Imperial Wharf,Clapham Junction
18561,299,49033962,565000.0,1.0,"Queenstown Road, London SW11",flat,2018-09-14 00:00:00,"Garton Jones - Chelsea Bridge Wharf, SW8",Battersea Park,Queenstown Road (Battersea)
